,yearweek,ITALY_N,SOUTH KOREA_N,LATVIA_N,LITHUANIA_N,POLAND_N,ROMANIA_N,UKRAINE_N,CZECH REPUBLIC_N,ESTONIA_N,BELGIUM_N,CHINA_N,INDIA_N
0,2015-07,5,0.0,1.0,26.0,16.0,0.0,22.0,0.0,0.0,28.0,1.0,1.0
1,2015-08,22,1.0,7.0,27.0,25.0,0.0,17.0,0.0,7.0,20.0,6.0,4.0
2,2015-09,18,0.0,8.0,15.0,20.0,0.0,30.0,1.0,7.0,12.0,2.0,3.0
3,2015-10,48,11.0,8.0,11.0,15.0,0.0,11.0,1.0,10.0,10.0,6.0,7.0
4,2015-11,9,4.0,9.0,8.0,12.0,4.0,12.0,0.0,4.0,3.0,6.0,2.0
5,2015-12,8,0.0,12.0,13.0,13.0,1.0,15.0,0.0,3.0,4.0,9.0,7.0
6,2015-13,2,1.0,5.0,9.0,9.0,0.0,4.0,0.0,3.0,13.0,5.0,2.0
7,2015-14,8,0.0,1.0,5.0,1.0,0.0,5.0,1.0,5.0,0.0,2.0,0.0
8,2015-15,23,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-16,26,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,8.0,7.0,0.0
10,2015-18,3,0.0,2.0,5.0,8.0,0.0,10.0,1.0,6.0,5.0,5.0,1.0
11,2015-19,2,0.0,7.0,10.0,7.0,0.0,5.0,0.0,8.0,1.0,3.0,0.0
12,2015-20,2,1.0,1.0,4.0,4.0,2.0,4.0,0.0,1.0,6.0,1.0,0.0
13,2015-21,3,1.0,4.0,6.0,8.0,0.0,3.0,2.0,6.0,2.0,4.0,1.0
14,2015-22,2,4.0,9.0,91.0,95.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0
15,2015-23,4,1.0,2.0,2.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0
16,2015-24,2,2.0,13.0,10.0,10.0,1.0,6.0,0.0,10.0,2.0,1.0,0.0
17,2015-25,6,2.0,2.0,3.0,7.0,0.0,28.0,0.0,1.0,2.0,3.0,12.0
18,2015-26,2,5.0,9.0,11.0,16.0,1.0,7.0,3.0,7.0,4.0,6.0,1.0
19,2015-27,10,9.0,23.0,23.0,23.0,1.0,24.0,1.0,25.0,2.0,11.0,0.0
20,2015-28,3,11.0,9.0,12.0,18.0,0.0,18.0,0.0,4.0,6.0,13.0,0.0
21,2015-29,5,3.0,47.0,41.0,39.0,3.0,24.0,0.0,135.0,8.0,3.0,0.0
22,2015-30,15,3.0,50.0,50.0,62.0,1.0,52.0,0.0,176.0,10.0,6.0,0.0
23,2015-31,3,11.0,23.0,41.0,55.0,1.0,191.0,0.0,143.0,9.0,23.0,3.0
24,2015-32,6,3.0,20.0,21.0,97.0,1.0,31.0,0.0,175.0,0.0,4.0,1.0
25,2015-33,3,5.0,27.0,19.0,14.0,0.0,57.0,0.0,110.0,1.0,6.0,0.0
26,2015-35,4,0.0,10.0,9.0,27.0,0.0,7.0,0.0,77.0,65.0,1.0,1.0
27,2015-36,1,5.0,9.0,17.0,32.0,3.0,30.0,2.0,66.0,15.0,14.0,2.0
28,2015-37,2,6.0,7.0,26.0,30.0,0.0,21.0,1.0,36.0,11.0,6.0,1.0
29,2015-38,1,4.0,9.0,9.0,6.0,1.0,3.0,1.0,27.0,5.0,5.0,0.0
30,2015-39,2,1.0,14.0,14.0,6.0,0.0,8.0,0.0,50.0,3.0,3.0,0.0
31,2015-40,3,1.0,5.0,6.0,11.0,0.0,12.0,0.0,16.0,6.0,4.0,1.0
32,2015-41,4,0.0,6.0,8.0,1.0,3.0,10.0,0.0,27.0,1.0,1.0,0.0
33,2015-42,9,0.0,0.0,1.0,3.0,1.0,44.0,0.0,7.0,1.0,1.0,0.0
34,2015-43,9,0.0,9.0,11.0,12.0,1.0,69.0,2.0,13.0,1.0,7.0,2.0
35,2015-44,3,2.0,5.0,2.0,3.0,3.0,18.0,0.0,21.0,4.0,4.0,0.0
36,2015-45,7,2.0,3.0,3.0,8.0,1.0,17.0,2.0,25.0,3.0,3.0,1.0
37,2015-46,2,0.0,5.0,4.0,4.0,0.0,8.0,0.0,17.0,1.0,9.0,1.0
38,2015-47,1,0.0,8.0,4.0,7.0,0.0,5.0,0.0,12.0,0.0,7.0,1.0
39,2015-48,4,1.0,6.0,6.0,3.0,0.0,5.0,2.0,12.0,1.0,4.0,1.0
40,2015-49,3,2.0,4.0,10.0,3.0,1.0,6.0,0.0,5.0,1.0,1.0,0.0
41,2015-50,9,0.0,3.0,16.0,2.0,0.0,6.0,0.0,21.0,0.0,2.0,0.0
42,2015-51,1,5.0,8.0,8.0,7.0,1.0,32.0,0.0,10.0,3.0,8.0,2.0
43,2015-52,5,1.0,3.0,5.0,10.0,0.0,11.0,0.0,5.0,1.0,2.0,2.0
44,2016-00,6,1.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,11.0,0.0
45,2016-01,3,5.0,3.0,0.0,5.0,0.0,12.0,0.0,22.0,0.0,10.0,0.0
46,2016-02,14,0.0,3.0,7.0,4.0,1.0,5.0,0.0,17.0,6.0,3.0,1.0
47,2016-03,5,2.0,26.0,11.0,42.0,0.0,13.0,0.0,16.0,1.0,16.0,1.0
48,2016-04,12,4.0,3.0,2.0,27.0,0.0,37.0,0.0,14.0,5.0,7.0,0.0
49,2016-05,17,0.0,1.0,1.0,14.0,1.0,22.0,0.0,8.0,6.0,3.0,0.0
50,2016-06,17,0.0,4.0,3.0,6.0,0.0,17.0,0.0,19.0,5.0,5.0,3.0
51,2016-07,13,0.0,7.0,16.0,7.0,1.0,14.0,0.0,10.0,6.0,1.0,0.0
52,2016-08,19,0.0,16.0,21.0,14.0,6.0,8.0,0.0,28.0,9.0,3.0,2.0
53,2016-09,5,0.0,4.0,5.0,11.0,0.0,3.0,0.0,12.0,6.0,0.0,1.0
54,2016-10,9,1.0,0.0,3.0,7.0,4.0,16.0,0.0,2.0,7.0,2.0,2.0
55,2016-11,3,1.0,10.0,10.0,8.0,1.0,18.0,0.0,20.0,11.0,5.0,0.0
56,2016-12,5,1.0,4.0,8.0,2.0,1.0,18.0,0.0,3.0,0.0,6.0,0.0
57,2016-15,3,3.0,2.0,3.0,6.0,0.0,5.0,0.0,4.0,0.0,4.0,1.0
58,2016-16,11,2.0,1.0,4.0,6.0,1.0,2.0,1.0,27.0,3.0,1.0,1.0
59,2016-17,8,0.0,6.0,7.0,13.0,1.0,4.0,0.0,19.0,2.0,3.0,0.0
60,2016-18,4,1.0,1.0,3.0,5.0,0.0,4.0,0.0,10.0,1.0,5.0,0.0
61,2016-19,2,0.0,7.0,7.0,5.0,0.0,5.0,2.0,10.0,0.0,2.0,0.0
62,2016-20,1,0.0,0.0,1.0,2.0,0.0,5.0,0.0,8.0,2.0,3.0,0.0
63,2016-21,4,0.0,1.0,1.0,4.0,1.0,26.0,1.0,7.0,1.0,2.0,1.0
64,2016-22,12,2.0,10.0,11.0,12.0,0.0,6.0,6.0,19.0,3.0,7.0,1.0
65,2016-23,8,0.0,2.0,4.0,5.0,1.0,14.0,0.0,7.0,2.0,3.0,1.0
66,2016-24,7,0.0,2.0,2.0,18.0,2.0,7.0,0.0,5.0,3.0,19.0,0.0
67,2016-25,7,1.0,0.0,9.0,59.0,0.0,13.0,0.0,4.0,14.0,57.0,3.0
68,2016-26,7,7.0,3.0,58.0,62.0,0.0,8.0,1.0,95.0,5.0,6.0,0.0
69,2016-27,2,1.0,3.0,17.0,18.0,0.0,10.0,0.0,43.0,2.0,12.0,2.0
70,2016-28,14,1.0,4.0,18.0,3.0,1.0,3.0,0.0,46.0,5.0,9.0,2.0
71,2016-29,4,3.0,13.0,30.0,17.0,1.0,22.0,0.0,34.0,0.0,4.0,1.0
72,2016-30,2,3.0,17.0,21.0,30.0,1.0,30.0,1.0,41.0,1.0,15.0,1.0
73,2016-31,5,1.0,9.0,23.0,20.0,3.0,34.0,0.0,11.0,1.0,5.0,2.0
74,2016-32,15,0.0,6.0,13.0,55.0,3.0,23.0,0.0,13.0,3.0,5.0,2.0
75,2016-33,30,3.0,38.0,77.0,130.0,5.0,81.0,1.0,58.0,17.0,9.0,2.0
76,2016-34,6,1.0,8.0,35.0,69.0,0.0,27.0,1.0,82.0,14.0,6.0,1.0
77,2016-35,8,8.0,5.0,10.0,58.0,14.0,56.0,0.0,36.0,5.0,18.0,11.0
78,2016-36,2,2.0,19.0,19.0,53.0,8.0,60.0,1.0,27.0,3.0,6.0,13.0
79,2016-37,3,2.0,3.0,4.0,16.0,0.0,24.0,1.0,8.0,1.0,5.0,1.0
80,2016-38,7,1.0,23.0,29.0,45.0,3.0,44.0,0.0,39.0,22.0,4.0,2.0
81,2016-39,17,4.0,17.0,20.0,64.0,35.0,202.0,0.0,28.0,10.0,6.0,1.0
82,2016-40,4,0.0,1.0,5.0,18.0,4.0,32.0,0.0,11.0,0.0,5.0,1.0
83,2016-41,6,0.0,3.0,4.0,31.0,5.0,25.0,1.0,12.0,3.0,2.0,1.0
84,2016-42,20,3.0,3.0,8.0,26.0,5.0,49.0,0.0,3.0,3.0,6.0,1.0
85,2016-43,55,2.0,44.0,41.0,64.0,15.0,32.0,7.0,57.0,24.0,27.0,0.0
86,2016-44,4,5.0,33.0,22.0,41.0,2.0,37.0,0.0,38.0,4.0,4.0,1.0
87,2016-45,11,1.0,35.0,33.0,39.0,3.0,29.0,1.0,24.0,4.0,4.0,2.0
88,2016-46,5,7.0,36.0,36.0,46.0,1.0,31.0,0.0,22.0,4.0,3.0,4.0
89,2016-47,22,0.0,3.0,3.0,10.0,0.0,26.0,0.0,3.0,4.0,4.0,0.0
90,2016-48,16,2.0,3.0,12.0,16.0,3.0,12.0,1.0,9.0,1.0,2.0,3.0
91,2016-49,15,2.0,1.0,11.0,4.0,2.0,30.0,0.0,1.0,1.0,2.0,1.0
92,2016-50,14,1.0,7.0,11.0,16.0,2.0,12.0,0.0,22.0,2.0,2.0,1.0
93,2016-51,1,2.0,1.0,3.0,10.0,1.0,12.0,0.0,13.0,0.0,5.0,0.0
94,2016-52,4,2.0,0.0,1.0,8.0,4.0,34.0,0.0,12.0,1.0,6.0,0.0
95,2017-01,3,1.0,2.0,8.0,9.0,32.0,20.0,0.0,3.0,0.0,1.0,3.0
96,2017-02,3,0.0,10.0,8.0,15.0,1.0,63.0,1.0,15.0,1.0,10.0,0.0
97,2017-03,11,0.0,189.0,53.0,39.0,1.0,19.0,3.0,55.0,5.0,4.0,5.0
98,2017-04,22,0.0,2.0,6.0,9.0,0.0,36.0,0.0,6.0,2.0,5.0,3.0
99,2017-05,12,0.0,3.0,6.0,9.0,0.0,27.0,0.0,9.0,6.0,2.0,0.0
100,2017-06,8,5.0,37.0,26.0,29.0,11.0,61.0,4.0,35.0,9.0,10.0,5.0
101,2017-07,2,0.0,6.0,5.0,21.0,1.0,45.0,0.0,9.0,0.0,5.0,1.0
102,2017-08,16,5.0,9.0,28.0,50.0,7.0,88.0,0.0,11.0,16.0,3.0,2.0
103,2017-10,9,2.0,4.0,15.0,8.0,1.0,9.0,1.0,1.0,6.0,3.0,1.0
104,2017-11,8,1.0,1.0,1.0,6.0,0.0,25.0,2.0,6.0,1.0,2.0,2.0
105,2017-12,8,1.0,16.0,22.0,16.0,0.0,92.0,1.0,24.0,2.0,4.0,4.0
106,2017-13,6,7.0,5.0,12.0,9.0,0.0,46.0,0.0,25.0,3.0,9.0,1.0
107,2017-14,2,4.0,1.0,1.0,5.0,2.0,47.0,0.0,1.0,0.0,2.0,5.0
108,2017-15,3,1.0,0.0,0.0,3.0,0.0,8.0,2.0,4.0,0.0,1.0,1.0
109,2017-16,2,0.0,0.0,1.0,1.0,0.0,18.0,0.0,7.0,0.0,8.0,1.0
110,2017-18,4,1.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,2.0,1.0,1.0
111,2017-19,7,1.0,6.0,10.0,19.0,0.0,17.0,0.0,4.0,13.0,1.0,1.0
112,2017-20,2,3.0,1.0,4.0,8.0,1.0,14.0,0.0,7.0,3.0,4.0,3.0
113,2017-21,14,1.0,2.0,7.0,3.0,2.0,6.0,0.0,3.0,1.0,2.0,3.0
114,2017-22,4,0.0,9.0,14.0,33.0,7.0,43.0,1.0,11.0,2.0,3.0,0.0
115,2017-23,16,0.0,28.0,38.0,13.0,2.0,22.0,0.0,45.0,7.0,5.0,2.0
116,2017-24,10,3.0,12.0,13.0,22.0,0.0,13.0,1.0,14.0,5.0,4.0,0.0
117,2017-25,9,1.0,1.0,1.0,11.0,0.0,17.0,1.0,0.0,1.0,2.0,1.0
118,2017-26,11,2.0,9.0,7.0,39.0,10.0,28.0,111.0,13.0,3.0,19.0,9.0
119,2017-27,14,8.0,2.0,8.0,54.0,0.0,47.0,42.0,2.0,2.0,4.0,4.0
120,2017-28,6,0.0,39.0,63.0,66.0,5.0,30.0,58.0,104.0,3.0,6.0,7.0
121,2017-29,5,0.0,54.0,49.0,46.0,3.0,31.0,67.0,63.0,21.0,27.0,5.0
122,2017-30,11,15.0,39.0,41.0,62.0,24.0,99.0,68.0,40.0,1.0,28.0,3.0
123,2017-31,12,5.0,40.0,43.0,81.0,159.0,148.0,87.0,41.0,14.0,5.0,3.0
124,2017-32,8,0.0,16.0,21.0,36.0,69.0,92.0,76.0,18.0,6.0,8.0,8.0
125,2017-33,10,2.0,1.0,1.0,12.0,18.0,41.0,25.0,2.0,9.0,14.0,3.0
126,2017-34,9,1.0,4.0,3.0,19.0,10.0,19.0,28.0,4.0,7.0,8.0,3.0
127,2017-35,14,20.0,1.0,7.0,105.0,23.0,129.0,14.0,13.0,16.0,62.0,6.0
128,2017-36,1,4.0,10.0,15.0,15.0,12.0,54.0,23.0,4.0,4.0,9.0,3.0
129,2017-37,3,4.0,5.0,4.0,40.0,2.0,82.0,5.0,8.0,1.0,10.0,3.0
130,2017-38,4,3.0,9.0,7.0,22.0,7.0,42.0,4.0,17.0,2.0,8.0,1.0
131,2017-39,9,2.0,1.0,4.0,6.0,2.0,30.0,8.0,4.0,45.0,3.0,1.0
132,2017-40,2,2.0,2.0,4.0,17.0,2.0,25.0,7.0,10.0,4.0,8.0,0.0
133,2017-41,2,3.0,5.0,7.0,10.0,2.0,46.0,9.0,5.0,4.0,6.0,2.0
134,2017-42,2,2.0,2.0,1.0,15.0,2.0,12.0,12.0,1.0,21.0,4.0,3.0
135,2017-43,26,1.0,2.0,9.0,20.0,3.0,34.0,8.0,1.0,4.0,0.0,1.0
136,2017-44,8,0.0,3.0,1.0,8.0,5.0,39.0,5.0,11.0,6.0,3.0,1.0
137,2017-45,3,8.0,10.0,8.0,25.0,11.0,22.0,53.0,8.0,5.0,18.0,5.0
138,2017-46,5,1.0,5.0,9.0,14.0,1.0,28.0,3.0,5.0,2.0,13.0,2.0
139,2017-48,4,4.0,2.0,4.0,41.0,2.0,33.0,6.0,3.0,1.0,11.0,8.0
